circles, svg lenght (bytes), the dude dynamic buffer GAS, string concat, abi encode packed, solady dynamic buffer GAS, no_side dynamic buffer GAS
10, 534, 13783, 15250, 15427, 17805, 14086
50, 2254, 31366, 56284, 56461, 45326, 32338
100, 4404, 53706, 210145, 210322, 80050, 55723
200, 8704, 99622, 1796989, 1797166, 151063, 104430
300, 13004, 147207, 8012089, 8012266, 221476, 155768
500, 21604, 247281, 57876839, 57877016, 372835, 266184
1000, 43104, 526210, 897850539, 897850716, 781305, 587443
1200, 51704, 649308, , , 944646, 734133
1500, 64604, 846285, , , 1280333, 973541
2000, 86104, 1207478, , , 1739156, 1424414
3000, 129104, 2053222, , , 3052751, 2520488
5000, 215104, 4238142, , , 5485525, 5489524
10000, 430104, 12578816, , , 15159879, 17446265
15000, 645104, 25031442, , , 32062226, 35879803
